order_id,tanggal,reseller_id,customer_id,product_id,qty,harga,margin
PO-2508-080,2025-07-10,RESL-C,CORP-06,PKG-BOX-02,2500,7000000,1302210.5609670454
PO-2508-081,2025-07-30,RESL-A,CORP-07,PKG-TRY-01,2500,2000000,372149.7137025728
PO-2508-082,2025-07-12,RESL-C,CORP-05,PKG-BTL-01,7500,9000000,1474215.1881071767
PO-2508-083,2025-08-06,RESL-B,CORP-04,PKG-BTL-01,2000,2400000,393481.9494937237
PO-2508-084,2025-07-31,RESL-C,CORP-07,PKG-BOX-01,7500,23250000,4179491.9211100484
PO-2508-085,2025-08-07,RESL-A,CORP-08,PKG-BTL-02,2500,6250000,994872.2501862202
PO-2508-086,2025-07-02,RESL-A,CORP-07,PKG-BTL-01,2500,3000000,698084.162778258
PO-2508-087,2025-07-28,RESL-B,CORP-05,PKG-TRY-01,500,400000,74078.47799307528
PO-2508-088,2025-08-10,RESL-A,CORP-04,PKG-PCH-01,5000,7500000,1813015.1408026582
PO-2508-089,2025-07-05,RESL-C,CORP-03,PKG-BTL-02,10000,25000000,3837983.051262791
PO-2508-090,2025-07-21,RESL-C,CORP-03,PKG-BTL-01,7500,9000000,2192714.6027776115
PO-2508-091,2025-07-09,RESL-B,CORP-06,PKG-BOX-01,2500,7750000,1514379.1423168029
PO-2508-092,2025-07-06,RESL-C,CORP-02,PKG-PCH-01,5000,7500000,1363253.4695785537
PO-2508-093,2025-08-10,RESL-A,CORP-03,PKG-BTL-02,1000,2500000,555541.7576060616
PO-2508-094,2025-08-06,RESL-B,CORP-03,PKG-CAP-01,5000,1250000,231458.27553389187
PO-2508-095,2025-07-20,RESL-B,CORP-07,PKG-BTL-01,2500,3000000,668480.5908506634
PO-2508-096,2025-07-10,RESL-C,CORP-05,PKG-PCH-01,2000,3000000,533878.0944646706
PO-2508-097,2025-08-17,RESL-A,CORP-01,PKG-LBL-01,1000,350000,82895.12973076176
PO-2508-098,2025-07-06,RESL-A,CORP-10,PKG-TRY-01,5000,4000000,825237.0119016544
PO-2508-099,2025-08-03,RESL-A,CORP-12,PKG-PCH-01,5000,7500000,1273398.1758773874
PO-2508-100,2025-08-14,RESL-C,CORP-07,PKG-CAP-01,2000,500000,114966.79060534303
